Session: ClassificationLearnerSession_00-feature_selection_MRMR,,,,,,,,,,
Training Data: train_data    Observations: 864,,,,,,,,,,
"Predictors: 36    Predictor Names: mean_fmg_Extensor, rms_fmg_Extensor, std_fmg_Extensor, median_fmg_Extensor, wl_fmg_Extensor, ssc_fmg_Extensor, rms_Extensor, mav_Extensor, sd_Extensor, iqr_Extensor, wl_Extensor, ssc_Extensor, iemg_Extensor, kurt_Extensor, log_Extensor, mnf_Extensor, pkf_Extensor, mnpsd_Extensor, mean_fmg_Flexor, rms_fmg_Flexor, std_fmg_Flexor, median_fmg_Flexor, wl_fmg_Flexor, ssc_fmg_Flexor, rms_Flexor, mav_Flexor, sd_Flexor, iqr_Flexor, wl_Flexor, ssc_Flexor, iemg_Flexor, kurt_Flexor, log_Flexor, mnf_Flexor, pkf_Flexor, mnpsd_Flexor",,,,,,,,,,
"Response Name: labels    Response Classes: 5    Response Class Names: abrir, fechar, ok, pinch, point",,,,,,,,,,
Validation: 5-fold cross-validation,,,,,,,,,,
Test Data: test_data    Observations: 216,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Favorite,Model Number,Model Type,Accuracy % (Validation),Accuracy % (Test),Preset,Prediction Speed (obs/sec),Training Time (sec),Model Size (bytes),Selected Features,Feature Ranking Algorithm
0,2.1,Tree,71.2962962962963,74.0740740740741,Fine Tree,6336.83350483367,12.4632289,39505,30/36,MRMR
0,2.2,Tree,63.1944444444444,56.9444444444444,Medium Tree,7480.64253870843,14.1790766,15593,30/36,MRMR
0,2.3,Tree,48.3796296296296,43.0555555555556,Coarse Tree,7092.63523414316,13.1451499,9733,30/36,MRMR
0,2.4,Discriminant,70.6018518518518,71.2962962962963,Linear Discriminant,6698.81685248647,12.2264652,27046,30/36,MRMR
0,2.5,Discriminant,83.3333333333333,80.5555555555556,Quadratic Discriminant,4238.41059602649,11.750647,94912,30/36,MRMR
0,2.6,Efficient Logistic Regression,36.3425925925926,30.5555555555556,Efficient Logistic Regression,3832.58182495658,11.0413055,163376,30/36,MRMR
0,2.7,Efficient Linear SVM,59.375,64.3518518518518,Efficient Linear SVM,4531.68402413541,10.6072957,162932,30/36,MRMR
0,2.8,Naive Bayes,56.8287037037037,57.4074074074074,Gaussian Naive Bayes,3304.87974674829,10.2587367,29738,30/36,MRMR
0,2.9,Naive Bayes,62.2685185185185,62.5,Kernel Naive Bayes,480.506881370192,20.5509254,1170128,30/36,MRMR
0,2.10,SVM,71.7592592592593,73.6111111111111,Linear SVM,5879.75092721767,15.6993865,94452,30/36,MRMR
0,2.11,SVM,87.7314814814815,84.7222222222222,Quadratic SVM,6036.03597309772,15.3575732,282340,30/36,MRMR
0,2.12,SVM,88.6574074074074,87.037037037037,Cubic SVM,3994.1862400284,14.9601622,269796,30/36,MRMR
0,2.13,SVM,75.9259259259259,70.3703703703704,Fine Gaussian SVM,2602.31714655925,14.7325549,949948,30/36,MRMR
0,2.14,SVM,85.5324074074074,87.037037037037,Medium Gaussian SVM,2351.22642038296,14.5323279,447164,30/36,MRMR
0,2.15,SVM,63.6574074074074,64.3518518518518,Coarse Gaussian SVM,4228.44569383704,13.868437,635580,30/36,MRMR
0,2.16,KNN,87.037037037037,85.6481481481482,Fine KNN,5034.956232594,13.3774272,231258,30/36,MRMR
0,2.17,KNN,82.0601851851852,83.3333333333333,Medium KNN,4913.63881683672,12.6414576,231258,30/36,MRMR
0,2.18,KNN,58.5648148148148,62.962962962963,Coarse KNN,3886.34247493444,18.8225228,231258,30/36,MRMR
0,2.19,KNN,81.25,84.2592592592593,Cosine KNN,4295.52196806498,18.4422405,231246,30/36,MRMR
0,2.20,KNN,79.9768518518518,82.4074074074074,Cubic KNN,2721.49041918827,18.1176881,231274,30/36,MRMR
0,2.21,KNN,86.1111111111111,87.962962962963,Weighted KNN,6704.08747592658,17.6185249,231276,30/36,MRMR
0,2.22,Ensemble,76.8518518518518,68.0555555555556,Boosted Trees,1999.91620721447,21.2452036,471150,30/36,MRMR
0,2.23,Ensemble,85.6481481481482,84.7222222222222,Bagged Trees,2412.00508531072,22.7442252,1286470,30/36,MRMR
0,2.24,Ensemble,67.8240740740741,68.9814814814815,Subspace Discriminant,1265.50333124711,19.895169,369312,30/36,MRMR
0,2.25,Ensemble,63.6574074074074,68.5185185185185,Subspace KNN,989.023895229402,20.7406881,3762872,30/36,MRMR
0,2.26,Ensemble,73.0324074074074,68.9814814814815,RUSBoosted Trees,2744.74448144343,24.1452501,471150,30/36,MRMR
0,2.27,Neural Network,80.4398148148148,78.2407407407407,Narrow Neural Network,13240.4458842748,21.8423625,13369,30/36,MRMR
0,2.28,Neural Network,85.5324074074074,79.1666666666667,Medium Neural Network,4628.4342285568,18.2403295,17689,30/36,MRMR
0,2.29,Neural Network,85.9953703703704,83.3333333333333,Wide Neural Network,14809.9898866967,21.4542628,39289,30/36,MRMR
0,2.30,Neural Network,80.6712962962963,76.3888888888889,Bilayered Neural Network,23572.4867609384,24.5518092,15169,30/36,MRMR
0,2.31,Neural Network,78.2407407407407,72.6851851851852,Trilayered Neural Network,24141.1587197362,30.0788665,16969,30/36,MRMR
0,2.32,Kernel,59.375,63.4259259259259,SVM Kernel,6756.54011969398,12.1089116,212322,30/36,MRMR
0,2.33,Kernel,56.4814814814815,56.4814814814815,Logistic Regression Kernel,4881.79722460788,6.6721391,212742,30/36,MRMR
0,3.1,Tree,72.6851851851852,75.462962962963,Fine Tree,36478.0139747947,8.2991768,40717,24/36,MRMR
0,3.2,Tree,62.2685185185185,61.1111111111111,Medium Tree,36537.4043219013,3.8620179,14765,24/36,MRMR
0,3.3,Tree,48.3796296296296,43.0555555555556,Coarse Tree,32167.6290893657,1.8218111,8913,24/36,MRMR
0,3.4,Discriminant,68.6342592592593,66.2037037037037,Linear Discriminant,22818.2070276908,2.6350782,20130,24/36,MRMR
0,3.5,Discriminant,81.1342592592593,77.3148148148148,Quadratic Discriminant,15200.6164694457,1.719456,65484,24/36,MRMR
0,3.6,Efficient Logistic Regression,39.6990740740741,34.2592592592593,Efficient Logistic Regression,19519.7773299475,2.8291841,153396,24/36,MRMR
0,3.7,Efficient Linear SVM,57.6388888888889,61.1111111111111,Efficient Linear SVM,8192.46217623655,5.3871859,152952,24/36,MRMR
0,3.8,Naive Bayes,57.6388888888889,57.4074074074074,Gaussian Naive Bayes,6874.07162241616,2.1018193,24574,24/36,MRMR
