Session: ClassificationLearnerSession_00-feature_selection_ReliefF,,,,,,,,,,
Training Data: train_data    Observations: 864,,,,,,,,,,
"Predictors: 36    Predictor Names: mean_fmg_Extensor, rms_fmg_Extensor, std_fmg_Extensor, median_fmg_Extensor, wl_fmg_Extensor, ssc_fmg_Extensor, rms_Extensor, mav_Extensor, sd_Extensor, iqr_Extensor, wl_Extensor, ssc_Extensor, iemg_Extensor, kurt_Extensor, log_Extensor, mnf_Extensor, pkf_Extensor, mnpsd_Extensor, mean_fmg_Flexor, rms_fmg_Flexor, std_fmg_Flexor, median_fmg_Flexor, wl_fmg_Flexor, ssc_fmg_Flexor, rms_Flexor, mav_Flexor, sd_Flexor, iqr_Flexor, wl_Flexor, ssc_Flexor, iemg_Flexor, kurt_Flexor, log_Flexor, mnf_Flexor, pkf_Flexor, mnpsd_Flexor",,,,,,,,,,
"Response Name: labels    Response Classes: 5    Response Class Names: abrir, fechar, ok, pinch, point",,,,,,,,,,
Validation: 5-fold cross-validation,,,,,,,,,,
Test Data: test_data    Observations: 216,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Favorite,Model Number,Model Type,Preset,Accuracy % (Validation),Accuracy % (Test),Prediction Speed (obs/sec),Training Time (sec),Model Size (bytes),Selected Features,Feature Ranking Algorithm
0,2.1,Tree,Fine Tree,71.1805555555556,73.1481481481482,30585.4782697965,20.7496598,38189,30/36,ReliefF
0,2.2,Tree,Medium Tree,62.7314814814815,56.9444444444444,30684.5423066679,16.0386615,15585,30/36,ReliefF
0,2.3,Tree,Coarse Tree,48.2638888888889,43.0555555555556,30411.612730639,14.9905244,9725,30/36,ReliefF
0,2.4,Discriminant,Linear Discriminant,71.6435185185185,72.2222222222222,23451.8775073694,14.3487422,27038,30/36,ReliefF
0,2.5,Discriminant,Quadratic Discriminant,83.1018518518518,81.0185185185185,16514.9609489986,16.4523884,94904,30/36,ReliefF
0,2.6,Efficient Logistic Regression,Efficient Logistic Regression,37.037037037037,32.4074074074074,15470.313649866,15.5753667,163288,30/36,ReliefF
0,2.7,Efficient Linear SVM,Efficient Linear SVM,61.8055555555556,55.5555555555556,16041.1425600847,15.1666094,162844,30/36,ReliefF
0,2.8,Naive Bayes,Gaussian Naive Bayes,53.587962962963,53.2407407407407,5777.54447672766,16.5087037,29730,30/36,ReliefF
0,2.9,Naive Bayes,Kernel Naive Bayes,63.0787037037037,62.037037037037,1223.43021796174,28.0890375,1170120,30/36,ReliefF
0,2.10,SVM,Linear SVM,70.6018518518518,74.537037037037,13736.0016788446,23.5806769,94364,30/36,ReliefF
0,2.11,SVM,Quadratic SVM,89.0046296296296,86.5740740740741,11579.751517832,23.9275719,269196,30/36,ReliefF
0,2.12,SVM,Cubic SVM,88.6574074074074,91.2037037037037,11643.31041955,24.6067398,253836,30/36,ReliefF
0,2.13,SVM,Fine Gaussian SVM,81.1342592592593,78.7037037037037,9153.89024443218,25.1979207,924260,30/36,ReliefF
0,2.14,SVM,Medium Gaussian SVM,85.5324074074074,87.962962962963,10697.9548828611,24.8118324,426084,30/36,ReliefF
0,2.15,SVM,Coarse Gaussian SVM,64.2361111111111,62.5,10287.0369047449,25.9215231,628324,30/36,ReliefF
0,2.16,KNN,Fine KNN,90.162037037037,88.8888888888889,10597.7030950445,25.5295318,231250,30/36,ReliefF
0,2.17,KNN,Medium KNN,83.6805555555556,85.1851851851852,12985.8223076588,34.8351381,231250,30/36,ReliefF
0,2.18,KNN,Coarse KNN,60.7638888888889,62.5,10808.9038345337,35.6897261,231250,30/36,ReliefF
0,2.19,KNN,Cosine KNN,82.9861111111111,87.962962962963,11212.0134647977,36.0871231,231238,30/36,ReliefF
0,2.20,KNN,Cubic KNN,82.4074074074074,83.7962962962963,4078.0974542571,37.1487014,231266,30/36,ReliefF
0,2.21,KNN,Weighted KNN,87.1527777777778,87.962962962963,8832.71211287879,36.7300441,231268,30/36,ReliefF
0,2.22,Ensemble,Boosted Trees,74.1898148148148,71.7592592592593,3947.45679156743,40.3376368,470902,30/36,ReliefF
0,2.23,Ensemble,Bagged Trees,84.375,84.2592592592593,3349.58502363318,41.3500039,1291562,30/36,ReliefF
0,2.24,Ensemble,Subspace Discriminant,68.6342592592593,68.9814814814815,2050.49972624405,41.7359303,369124,30/36,ReliefF
0,2.25,Ensemble,Subspace KNN,61.3425925925926,65.2777777777778,1369.11563528471,50.2927789,3762680,30/36,ReliefF
0,2.26,Ensemble,RUSBoosted Trees,70.2546296296296,70.3703703703704,3886.85473825137,51.9795421,470902,30/36,ReliefF
0,2.27,Neural Network,Narrow Neural Network,81.9444444444444,82.8703703703704,25621.7120285635,56.36039,13361,30/36,ReliefF
0,2.28,Neural Network,Medium Neural Network,84.1435185185185,81.0185185185185,22772.799156563,50.0658361,17681,30/36,ReliefF
0,2.29,Neural Network,Wide Neural Network,84.2592592592593,83.7962962962963,17519.0651632173,51.9511853,39281,30/36,ReliefF
0,2.30,Neural Network,Bilayered Neural Network,80.3240740740741,79.6296296296296,24762.1231227789,56.4055186,15161,30/36,ReliefF
0,2.31,Neural Network,Trilayered Neural Network,79.1666666666667,78.7037037037037,30356.2644930082,58.8109764,16961,30/36,ReliefF
0,2.32,Kernel,SVM Kernel,62.037037037037,62.962962962963,5607.94978807921,61.2309549,212234,30/36,ReliefF
0,2.33,Kernel,Logistic Regression Kernel,56.712962962963,57.4074074074074,6678.27635542343,62.5989924,212646,30/36,ReliefF
0,3.1,Tree,Fine Tree,71.6435185185185,75,28183.8999471552,19.8251929,37145,24/36,ReliefF
0,3.2,Tree,Medium Tree,61.8055555555556,58.3333333333333,27010.1287982994,14.4961172,14361,24/36,ReliefF
0,3.3,Tree,Coarse Tree,48.2638888888889,43.0555555555556,29182.4851047732,13.1897143,8889,24/36,ReliefF
0,3.4,Discriminant,Linear Discriminant,69.5601851851852,68.0555555555556,25295.6280137369,16.2423929,20106,24/36,ReliefF
0,3.5,Discriminant,Quadratic Discriminant,82.7546296296296,81.0185185185185,16278.0839338703,15.5335711,65460,24/36,ReliefF
0,3.6,Efficient Logistic Regression,Efficient Logistic Regression,36.8055555555556,31.4814814814815,14118.8466993928,15.014529,153132,24/36,ReliefF
0,3.7,Efficient Linear SVM,Efficient Linear SVM,57.2916666666667,60.1851851851852,14946.2350710638,17.0544021,152688,24/36,ReliefF
0,3.8,Naive Bayes,Gaussian Naive Bayes,52.1990740740741,54.1666666666667,6130.46393563013,16.0915433,24550,24/36,ReliefF
