Session: ClassificationLearnerSession_03-initial_selection_EMG,,,,,,,,,,,
Training Data: train_data    Observations: 864,,,,,,,,,,,
"Predictors: 36    Predictor Names: mean_fmg_Extensor, rms_fmg_Extensor, std_fmg_Extensor, median_fmg_Extensor, wl_fmg_Extensor, ssc_fmg_Extensor, rms_Extensor, mav_Extensor, sd_Extensor, iqr_Extensor, wl_Extensor, ssc_Extensor, iemg_Extensor, kurt_Extensor, log_Extensor, mnf_Extensor, pkf_Extensor, mnpsd_Extensor, mean_fmg_Flexor, rms_fmg_Flexor, std_fmg_Flexor, median_fmg_Flexor, wl_fmg_Flexor, ssc_fmg_Flexor, rms_Flexor, mav_Flexor, sd_Flexor, iqr_Flexor, wl_Flexor, ssc_Flexor, iemg_Flexor, kurt_Flexor, log_Flexor, mnf_Flexor, pkf_Flexor, mnpsd_Flexor",,,,,,,,,,,
"Response Name: labels    Response Classes: 5    Response Class Names: abrir, fechar, ok, pinch, point",,,,,,,,,,,
Validation: 5-fold cross-validation,,,,,,,,,,,
Test Data: test_data    Observations: 216,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Favorite,Model Number,Model Type,Accuracy % (Validation),Accuracy % (Test),Preset,Prediction Speed (obs/sec),Training Time (sec),Model Size (bytes),Hyperparameters,Selected Features,Feature Ranking Algorithm
0,2.1,Tree,68.287037037037,67.1296296296296,Fine Tree,24918.021439881,8.1685156,40441,Maximum number of splits: 100; Split criterion: Gini's diversity index; Surrogate decision splits: Off,24/36,None
0,2.2,Tree,62.5,59.2592592592593,Medium Tree,37318.5901865929,2.5540431,14661,Maximum number of splits: 20; Split criterion: Gini's diversity index; Surrogate decision splits: Off,24/36,None
0,2.3,Tree,47.5694444444444,43.0555555555556,Coarse Tree,29885.645896604,1.4669033,8817,Maximum number of splits: 4; Split criterion: Gini's diversity index; Surrogate decision splits: Off,24/36,None
0,2.4,Discriminant,62.962962962963,64.3518518518518,Linear Discriminant,17842.9817605075,1.7941954,20034,Covariance structure: Full,24/36,None
0,2.5,Discriminant,73.1481481481482,72.6851851851852,Quadratic Discriminant,15495.0896347893,1.5637443,65388,Covariance structure: Full,24/36,None
0,2.6,Efficient Logistic Regression,34.7222222222222,26.8518518518519,Efficient Logistic Regression,15555.9356517199,3.3638175,152340,Learner: Logistic regression; Solver: Auto; Regularization strength (Lambda): Auto; Relative coefficient tolerance (Beta tolerance): 0.0001,24/36,None
0,2.7,Efficient Linear SVM,56.0185185185185,55.5555555555556,Efficient Linear SVM,14026.9759528278,3.1299926,151896,Learner: SVM; Solver: Auto; Regularization strength (Lambda): Auto; Relative coefficient tolerance (Beta tolerance): 0.0001,24/36,None
0,2.8,Naive Bayes,48.9583333333333,51.8518518518518,Gaussian Naive Bayes,4912.95148403547,2.8661707,24478,Distribution name for numeric predictors: Gaussian; Distribution name for categorical predictors: Not Applicable,24/36,None
0,2.9,Naive Bayes,58.4490740740741,57.4074074074074,Kernel Naive Bayes,490.177834702957,10.399566,936790,Distribution name for numeric predictors: Kernel; Distribution name for categorical predictors: Not Applicable; Kernel type: Gaussian; Support: Unbounded,24/36,None
0,2.10,SVM,65.162037037037,65.7407407407407,Linear SVM,5815.25656790826,3.2294355,82936,Kernel function: Linear; Kernel scale: Automatic; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,24/36,None
0,2.11,SVM,79.2824074074074,75,Quadratic SVM,4532.97027599178,5.1145223,257064,Kernel function: Quadratic; Kernel scale: Automatic; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,24/36,None
0,2.12,SVM,79.3981481481482,79.6296296296296,Cubic SVM,5285.34113084278,4.0775668,236888,Kernel function: Cubic; Kernel scale: Automatic; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,24/36,None
0,2.13,SVM,75.9259259259259,75.462962962963,Custom SVM,4410.40221949408,4.329649,651600,Kernel function: Gaussian; Kernel scale: 1.5; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,24/36,None
0,2.14,SVM,73.1481481481482,75.462962962963,Custom SVM,6140.8995280605,3.6997697,404912,Kernel function: Gaussian; Kernel scale: 6; Box constraint level: 1; Multiclass method: One-vs-One; Standardize data: Yes,24/36,None
