Session: ClassificationLearnerSession_00-feature_selection_Chi2,,,,,,,,,,
Training Data: train_data    Observations: 864,,,,,,,,,,
"Predictors: 36    Predictor Names: mean_fmg_Extensor, rms_fmg_Extensor, std_fmg_Extensor, median_fmg_Extensor, wl_fmg_Extensor, ssc_fmg_Extensor, rms_Extensor, mav_Extensor, sd_Extensor, iqr_Extensor, wl_Extensor, ssc_Extensor, iemg_Extensor, kurt_Extensor, log_Extensor, mnf_Extensor, pkf_Extensor, mnpsd_Extensor, mean_fmg_Flexor, rms_fmg_Flexor, std_fmg_Flexor, median_fmg_Flexor, wl_fmg_Flexor, ssc_fmg_Flexor, rms_Flexor, mav_Flexor, sd_Flexor, iqr_Flexor, wl_Flexor, ssc_Flexor, iemg_Flexor, kurt_Flexor, log_Flexor, mnf_Flexor, pkf_Flexor, mnpsd_Flexor",,,,,,,,,,
"Response Name: labels    Response Classes: 5    Response Class Names: abrir, fechar, ok, pinch, point",,,,,,,,,,
Validation: 5-fold cross-validation,,,,,,,,,,
Test Data: test_data    Observations: 216,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Favorite,Model Number,Model Type,Preset,Accuracy % (Validation),Accuracy % (Test),Prediction Speed (obs/sec),Training Time (sec),Model Size (bytes),Selected Features,Feature Ranking Algorithm
0,2.1,Tree,Fine Tree,71.2962962962963,73.6111111111111,39578.3803097558,7.4363597,40811,30/36,Chi2
0,2.2,Tree,Medium Tree,63.0787037037037,56.9444444444444,36769.5561693272,2.5779328,15603,30/36,Chi2
0,2.3,Tree,Coarse Tree,48.7268518518519,43.0555555555556,34265.4541560744,1.2788461,9743,30/36,Chi2
0,2.4,Discriminant,Linear Discriminant,71.6435185185185,69.9074074074074,28191.9007018609,0.8901438,27056,30/36,Chi2
0,2.5,Discriminant,Quadratic Discriminant,82.8703703703704,82.8703703703704,20131.5072068,2.121521,94922,30/36,Chi2
0,2.6,Efficient Logistic Regression,Efficient Logistic Regression,34.7222222222222,29.6296296296296,17171.5103973098,2.4618716,163486,30/36,Chi2
0,2.7,Efficient Linear SVM,Efficient Linear SVM,55.5555555555556,56.0185185185185,18337.4472320854,2.2226348,163042,30/36,Chi2
0,2.8,Naive Bayes,Gaussian Naive Bayes,56.5972222222222,56.9444444444444,5501.84604764955,1.9057594,29748,30/36,Chi2
0,2.9,Naive Bayes,Kernel Naive Bayes,61.9212962962963,61.1111111111111,1242.03012699327,7.5043772,1170138,30/36,Chi2
0,2.10,SVM,Linear SVM,71.412037037037,73.1481481481482,13237.0176876585,2.31664,94562,30/36,Chi2
0,2.11,SVM,Quadratic SVM,87.5,86.5740740740741,8996.09232239746,3.4897576,269138,30/36,Chi2
0,2.12,SVM,Cubic SVM,89.3518518518518,89.3518518518518,9138.6891269696,2.3093966,257106,30/36,Chi2
0,2.13,SVM,Fine Gaussian SVM,78.3564814814815,76.8518518518518,7598.83765927656,1.9907651,932906,30/36,Chi2
0,2.14,SVM,Medium Gaussian SVM,84.1435185185185,87.037037037037,10945.9089665238,3.6636533,437290,30/36,Chi2
0,2.15,SVM,Coarse Gaussian SVM,65.3935185185185,62.962962962963,10130.3342541307,2.5038286,629802,30/36,Chi2
0,2.16,KNN,Fine KNN,88.7731481481482,85.1851851851852,14451.1812669872,2.1580511,231268,30/36,Chi2
0,2.17,KNN,Medium KNN,82.6388888888889,86.5740740740741,11481.8648993809,1.5932942,231268,30/36,Chi2
0,2.18,KNN,Coarse KNN,60.5324074074074,62.5,11406.7537487821,1.3105771,231268,30/36,Chi2
0,2.19,KNN,Cosine KNN,79.6296296296296,83.3333333333333,12459.6395645471,2.2149216,231256,30/36,Chi2
0,2.20,KNN,Cubic KNN,80.2083333333333,84.2592592592593,5344.30234895696,2.0656602,231284,30/36,Chi2
0,2.21,KNN,Weighted KNN,86.5740740740741,87.5,15241.9931022925,1.7862782,231286,30/36,Chi2
0,2.22,Ensemble,Boosted Trees,74.7685185185185,71.7592592592593,3471.23734344278,5.4001943,471460,30/36,Chi2
0,2.23,Ensemble,Bagged Trees,83.4490740740741,84.2592592592593,2920.52718219831,8.5847345,1286780,30/36,Chi2
0,2.24,Ensemble,Subspace Discriminant,69.212962962963,68.0555555555556,1773.80350896931,4.5370562,369400,30/36,Chi2
0,2.25,Ensemble,Subspace KNN,57.0601851851852,62.962962962963,849.630287903713,7.2119645,3763014,30/36,Chi2
0,2.26,Ensemble,RUSBoosted Trees,70.6018518518518,68.9814814814815,3189.61956034195,7.4564625,471460,30/36,Chi2
0,2.27,Neural Network,Narrow Neural Network,78.9351851851852,80.5555555555556,25583.7779896599,10.1894268,13379,30/36,Chi2
0,2.28,Neural Network,Medium Neural Network,84.2592592592593,81.0185185185185,21310.4443375634,3.1377806,17699,30/36,Chi2
0,2.29,Neural Network,Wide Neural Network,85.4166666666667,82.4074074074074,18467.0233253039,4.7381098,39299,30/36,Chi2
0,2.30,Neural Network,Bilayered Neural Network,78.4722222222222,80.5555555555556,27992.2373378864,11.3231858,15179,30/36,Chi2
0,2.31,Neural Network,Trilayered Neural Network,79.9768518518518,76.3888888888889,26365.2564509435,10.4292249,16979,30/36,Chi2
0,2.32,Kernel,SVM Kernel,52.3148148148148,51.8518518518518,6336.90321993895,11.7502994,212432,30/36,Chi2
0,2.33,Kernel,Logistic Regression Kernel,48.0324074074074,46.7592592592593,5035.33476234269,6.7545968,212860,30/36,Chi2
0,3.1,Tree,Fine Tree,73.3796296296296,75.462962962963,39649.7604493639,8.3630326,35323,24/36,Chi2
0,3.2,Tree,Medium Tree,63.7731481481482,61.1111111111111,43741.2985698013,2.8590308,14759,24/36,Chi2
0,3.3,Tree,Coarse Tree,48.7268518518519,43.0555555555556,36958.9302442968,1.2517777,8915,24/36,Chi2
0,3.4,Discriminant,Linear Discriminant,67.0138888888889,69.4444444444444,29628.105550126,3.0565331,20132,24/36,Chi2
0,3.5,Discriminant,Quadratic Discriminant,82.0601851851852,78.7037037037037,21980.4821459463,1.0239284,65486,24/36,Chi2
0,3.6,Efficient Logistic Regression,Efficient Logistic Regression,37.2685185185185,29.6296296296296,18917.2501674965,1.5752138,153418,24/36,Chi2
0,3.7,Efficient Linear SVM,Efficient Linear SVM,51.0416666666667,53.7037037037037,18335.8516833331,3.6058159,152974,24/36,Chi2
0,3.8,Naive Bayes,Gaussian Naive Bayes,56.25,56.9444444444444,7521.97173166411,1.6315859,24576,24/36,Chi2
