Session: ClassificationLearnerSession_00-feature_selection_Kruskal,,,,,,,,,,
Training Data: train_data    Observations: 864,,,,,,,,,,
"Predictors: 36    Predictor Names: mean_fmg_Extensor, rms_fmg_Extensor, std_fmg_Extensor, median_fmg_Extensor, wl_fmg_Extensor, ssc_fmg_Extensor, rms_Extensor, mav_Extensor, sd_Extensor, iqr_Extensor, wl_Extensor, ssc_Extensor, iemg_Extensor, kurt_Extensor, log_Extensor, mnf_Extensor, pkf_Extensor, mnpsd_Extensor, mean_fmg_Flexor, rms_fmg_Flexor, std_fmg_Flexor, median_fmg_Flexor, wl_fmg_Flexor, ssc_fmg_Flexor, rms_Flexor, mav_Flexor, sd_Flexor, iqr_Flexor, wl_Flexor, ssc_Flexor, iemg_Flexor, kurt_Flexor, log_Flexor, mnf_Flexor, pkf_Flexor, mnpsd_Flexor",,,,,,,,,,
"Response Name: labels    Response Classes: 5    Response Class Names: abrir, fechar, ok, pinch, point",,,,,,,,,,
Validation: 5-fold cross-validation,,,,,,,,,,
Test Data: test_data    Observations: 216,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Favorite,Model Number,Model Type,Preset,Accuracy % (Validation),Accuracy % (Test),Prediction Speed (obs/sec),Training Time (sec),Model Size (bytes),Selected Features,Feature Ranking Algorithm
0,2.1,Tree,Fine Tree,70.4861111111111,72.6851851851852,32100.343295338,8.7538499,38941,30/36,KruskalWallis
0,2.2,Tree,Medium Tree,63.6574074074074,56.9444444444444,40365.7209065468,1.9493614,15593,30/36,KruskalWallis
0,2.3,Tree,Coarse Tree,49.4212962962963,43.0555555555556,39226.5469288429,2.7642628,9733,30/36,KruskalWallis
0,2.4,Discriminant,Linear Discriminant,70.7175925925926,70.8333333333333,24148.0409063341,1.4443052,27046,30/36,KruskalWallis
0,2.5,Discriminant,Quadratic Discriminant,81.9444444444444,81.4814814814815,21190.3897658266,2.5270427,94912,30/36,KruskalWallis
0,2.6,Efficient Logistic Regression,Efficient Logistic Regression,33.5648148148148,27.7777777777778,19001.8737958882,2.400741,163376,30/36,KruskalWallis
0,2.7,Efficient Linear SVM,Efficient Linear SVM,53.587962962963,54.1666666666667,18385.5996493117,3.7449681,162932,30/36,KruskalWallis
0,2.8,Naive Bayes,Gaussian Naive Bayes,56.5972222222222,58.7962962962963,6415.05399337111,2.5406305,29738,30/36,KruskalWallis
0,2.9,Naive Bayes,Kernel Naive Bayes,63.0787037037037,62.5,1379.11065559313,7.5179897,1170128,30/36,KruskalWallis
0,2.10,SVM,Linear SVM,72.6851851851852,73.1481481481482,15503.2083028293,2.7912878,94452,30/36,KruskalWallis
0,2.11,SVM,Quadratic SVM,87.7314814814815,87.037037037037,13494.2227858698,3.613557,265444,30/36,KruskalWallis
0,2.12,SVM,Cubic SVM,88.4259259259259,87.5,13747.4541751527,2.1391242,256996,30/36,KruskalWallis
0,2.13,SVM,Fine Gaussian SVM,78.2407407407407,76.3888888888889,10482.8416265876,3.8054186,932796,30/36,KruskalWallis
0,2.14,SVM,Medium Gaussian SVM,84.375,87.037037037037,10424.1821722355,2.2644529,433340,30/36,KruskalWallis
0,2.15,SVM,Coarse Gaussian SVM,63.5416666666667,63.8888888888889,10364.6833013436,2.7243119,629180,30/36,KruskalWallis
0,2.16,KNN,Fine KNN,88.8888888888889,86.1111111111111,12754.9514012731,1.8049996,231258,30/36,KruskalWallis
0,2.17,KNN,Medium KNN,81.4814814814815,85.1851851851852,16922.1639217115,3.2593835,231258,30/36,KruskalWallis
0,2.18,KNN,Coarse KNN,60.0694444444444,65.7407407407407,16160.6790477918,1.2378306,231258,30/36,KruskalWallis
0,2.19,KNN,Cosine KNN,80.3240740740741,83.7962962962963,14429.9421299196,2.2226842,231246,30/36,KruskalWallis
0,2.20,KNN,Cubic KNN,80.4398148148148,83.7962962962963,5509.25542157919,2.9453591,231274,30/36,KruskalWallis
0,2.21,KNN,Weighted KNN,86.6898148148148,88.4259259259259,14160.2434775198,2.4701538,231276,30/36,KruskalWallis
0,2.22,Ensemble,Boosted Trees,73.8425925925926,71.2962962962963,5454.40427362676,4.1393585,471150,30/36,KruskalWallis
0,2.23,Ensemble,Bagged Trees,84.4907407407407,84.7222222222222,3527.14102358939,6.9085415,1299998,30/36,KruskalWallis
0,2.24,Ensemble,Subspace Discriminant,68.6342592592593,68.9814814814815,2489.6157952291,4.803271,369240,30/36,KruskalWallis
0,2.25,Ensemble,Subspace KNN,60.3009259259259,70.3703703703704,1539.17795783151,5.5901877,3762882,30/36,KruskalWallis
0,2.26,Ensemble,RUSBoosted Trees,70.4861111111111,68.5185185185185,4473.91613685627,5.1634159,471150,30/36,KruskalWallis
0,2.27,Neural Network,Narrow Neural Network,77.5462962962963,81.9444444444444,32568.255751275,7.4891451,13369,30/36,KruskalWallis
0,2.28,Neural Network,Medium Neural Network,83.1018518518518,82.8703703703704,24849.508043015,2.8035216,17689,30/36,KruskalWallis
0,2.29,Neural Network,Wide Neural Network,85.7638888888889,86.5740740740741,28189.4172229509,2.5538569,39289,30/36,KruskalWallis
0,2.30,Neural Network,Bilayered Neural Network,79.7453703703704,81.0185185185185,27743.1701709544,8.9241524,15169,30/36,KruskalWallis
0,2.31,Neural Network,Trilayered Neural Network,78.4722222222222,77.7777777777778,29407.5601935998,5.8786336,16969,30/36,KruskalWallis
0,2.32,Kernel,SVM Kernel,52.3148148148148,50,6733.17232946721,9.5218888,212322,30/36,KruskalWallis
0,2.33,Kernel,Logistic Regression Kernel,51.2731481481482,47.6851851851852,5263.93068183134,4.3905787,212742,30/36,KruskalWallis
0,3.1,Tree,Fine Tree,72.5694444444444,77.3148148148148,42111.214547865,9.3225956,37169,24/36,KruskalWallis
0,3.2,Tree,Medium Tree,63.7731481481482,61.1111111111111,43065.2059055157,1.9862712,14761,24/36,KruskalWallis
0,3.3,Tree,Coarse Tree,49.4212962962963,43.0555555555556,37677.1020029043,3.6678343,8917,24/36,KruskalWallis
0,3.4,Discriminant,Linear Discriminant,67.0138888888889,70.8333333333333,34573.691181708,1.7172475,20134,24/36,KruskalWallis
0,3.5,Discriminant,Quadratic Discriminant,79.9768518518518,77.3148148148148,25618.2173990393,2.9152327,65488,24/36,KruskalWallis
0,3.6,Efficient Logistic Regression,Efficient Logistic Regression,37.2685185185185,31.4814814814815,22314.6258942638,2.8229646,153440,24/36,KruskalWallis
0,3.7,Efficient Linear SVM,Efficient Linear SVM,50.3472222222222,52.7777777777778,21658.7493576326,3.5397515,152996,24/36,KruskalWallis
